datetime,symbol,open,high,low,close,volume
2019-07-05 03:00:00,BINANCE:DOGEUSDT,0.00449,0.0046,0.00355,0.0038701,1928297660.0
2019-07-06 03:00:00,BINANCE:DOGEUSDT,0.0038741,0.0039426,0.0033652,0.0035,1010744287.0
2019-07-07 03:00:00,BINANCE:DOGEUSDT,0.003504,0.00365,0.0034,0.0035377,530613992.0
2019-07-08 03:00:00,BINANCE:DOGEUSDT,0.0035378,0.0035618,0.0034,0.003458,308445688.0
2019-07-09 03:00:00,BINANCE:DOGEUSDT,0.003462,0.003582,0.0033564,0.0034545,253375582.0
2019-07-10 03:00:00,BINANCE:DOGEUSDT,0.0034576,0.0035294,0.003251,0.0033421,241274866.0
2019-07-11 03:00:00,BINANCE:DOGEUSDT,0.0033358,0.0033395,0.0030909,0.003209,202811394.0
2019-07-12 03:00:00,BINANCE:DOGEUSDT,0.0032105,0.0033598,0.0031562,0.0032622,228622573.0
2019-07-13 03:00:00,BINANCE:DOGEUSDT,0.0032626,0.0032653,0.0031358,0.0032532,110731940.0
2019-07-14 03:00:00,BINANCE:DOGEUSDT,0.0032474,0.0032788,0.0029008,0.0029175,216658454.0
2019-07-15 03:00:00,BINANCE:DOGEUSDT,0.0029175,0.0031354,0.0028011,0.0030712,220027648.0
2019-07-16 03:00:00,BINANCE:DOGEUSDT,0.0030624,0.0031009,0.0027323,0.0027994,159080438.0
2019-07-17 03:00:00,BINANCE:DOGEUSDT,0.0027995,0.002986,0.0027063,0.0028822,320691294.0
2019-07-18 03:00:00,BINANCE:DOGEUSDT,0.0028663,0.0031251,0.0027797,0.0030979,263423204.0
2019-07-19 03:00:00,BINANCE:DOGEUSDT,0.0031008,0.0031068,0.0029202,0.0030232,101195703.0
2019-07-20 03:00:00,BINANCE:DOGEUSDT,0.0030131,0.0031528,0.003,0.0030787,106012025.0
2019-07-21 03:00:00,BINANCE:DOGEUSDT,0.0030701,0.0031272,0.0029872,0.0030468,59882988.0
2019-07-22 03:00:00,BINANCE:DOGEUSDT,0.0030533,0.0030816,0.00292,0.0029567,92581872.0
2019-07-23 03:00:00,BINANCE:DOGEUSDT,0.0029567,0.0029567,0.002816,0.0028192,161810410.0
2019-07-24 03:00:00,BINANCE:DOGEUSDT,0.0028195,0.0028819,0.0027629,0.0028741,68490381.0
2019-07-25 03:00:00,BINANCE:DOGEUSDT,0.0028555,0.0029487,0.0028476,0.0028656,149944114.0
2019-07-26 03:00:00,BINANCE:DOGEUSDT,0.0028656,0.0029033,0.0028177,0.0028798,29517748.0
2019-07-27 03:00:00,BINANCE:DOGEUSDT,0.00289,0.00296,0.0027551,0.0028047,86758314.0
2019-07-28 03:00:00,BINANCE:DOGEUSDT,0.0027973,0.0028137,0.002726,0.0027932,49225120.0
2019-07-29 03:00:00,BINANCE:DOGEUSDT,0.0027884,0.002884,0.0027637,0.0027663,65013586.0
2019-07-30 03:00:00,BINANCE:DOGEUSDT,0.0027663,0.00288,0.0027457,0.0027885,60008976.0
2019-07-31 03:00:00,BINANCE:DOGEUSDT,0.0027949,0.0028761,0.0027889,0.0028583,58120004.0
2019-08-01 03:00:00,BINANCE:DOGEUSDT,0.0028571,0.0030617,0.0028248,0.0029004,85256838.0
2019-08-02 03:00:00,BINANCE:DOGEUSDT,0.0029004,0.0029272,0.002861,0.0028996,64329108.0
2019-08-03 03:00:00,BINANCE:DOGEUSDT,0.0028951,0.002949,0.0028768,0.0028994,54942112.0
2019-08-04 03:00:00,BINANCE:DOGEUSDT,0.0028999,0.0029985,0.0028424,0.0029222,88247046.0
2019-08-05 03:00:00,BINANCE:DOGEUSDT,0.0029196,0.0031998,0.0029196,0.0030428,213937390.0
2019-08-06 03:00:00,BINANCE:DOGEUSDT,0.0030443,0.003084,0.0029124,0.0029557,128970146.0
2019-08-07 03:00:00,BINANCE:DOGEUSDT,0.0029569,0.0030399,0.0028759,0.0029856,116634874.0
